State,Obama,Romney,
Alabama,,,REP
Alaska,,,REP
Arizona,,,REP
Arkansas,,,REP
California,,,DEM
Colorado,,,DEM
Connecticut,,,DEM
Delaware,,,DEM
District of Columbia,,,DEM
Florida,,,DEM
Georgia,,,REP
Hawaii,,,DEM
Idaho,,,REP
Illinois,,,DEM
Indiana,,,REP
Iowa,,,DEM
Kansas,,,REP
Kentucky,,,REP
Louisiana,,,REP
Maine,,,DEM
Maryland,,,DEM
Massachusetts,,,DEM
Michigan,,,DEM
Minnesota,,,DEM
Mississippi,,,REP
Missouri,,,REP
Montana,,,REP
Nebraska,,,REP
Nevada,,,DEM
New Hampshire,,,DEM
New Jersey,,,DEM
New Mexico,,,DEM
New York,,,DEM
North Carolina,,,REP
North Dakota,,,REP
Ohio,,,DEM
Oklahoma,,,REP
Oregon,,,DEM
Pennsylvania,,,DEM
Rhode Island,,,DEM
South Carolina,,,REP
South Dakota,,,REP
Tennessee,,,REP
Texas,,,REP
Utah,,,REP
Vermont,,,DEM
Virginia,,,DEM
Washington,,,DEM
West Virginia,,,REP
Wisconsin,,,DEM
Wyoming,,,REP
